"filename", "language", "YAML", "Swift", "C++", "Markdown", "XML", "JSON", "Dart", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\favorite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\flip.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\gallery.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\gallery_blod.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\grid.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\house_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\house_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\instagram-highlight-story.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\live-streaming.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\logo_instagram.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\menu_h.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\menu_horizontal.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\messenger.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\microphone.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\microphone_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\minus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\paper-plane-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\paper_plane_right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\paper_plane_right_blod.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\phone_blod.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\plus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\profile.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\qr-code1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\qr-code2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\save.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\send.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\share-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\share.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\shop_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\shop_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\sticker.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\sticker_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\sticker_blod.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\video.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\video_point.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\warning.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\splash\instagram-icon-splash.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\agiaann\flutter-clean-architecture-instagram-1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"d:\agiaann\flutter-clean-architecture-instagram-1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\agiaann\flutter-clean-architecture-instagram-1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\agiaann\flutter-clean-architecture-instagram-1\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"d:\agiaann\flutter-clean-architecture-instagram-1\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"d:\agiaann\flutter-clean-architecture-instagram-1\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\config\routes\app_routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 2, 29
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\config\routes\customRoutes\hero_dialog_route.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 11, 46
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\config\themes\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 4, 101
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\config\themes\theme_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\app.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 9, 77
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\definition.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\functions\blur_hash.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\functions\compress_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\functions\date_of_now.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\functions\notifications_permissions.dart", "Dart", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 11, 25, 250
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\functions\toast_show.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\resources\assets_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\resources\color_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 13, 54
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\resources\font_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\resources\strings_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 41, 177
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\resources\styles_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 8, 57
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\translations\app_lang.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\translations\langs\ar.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 1, 136
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\translations\langs\en.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 1, 136
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\translations\local_storage\local_storage.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\translations\translations.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\use_case\use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\utility\constant.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\utility\injector.dart", "Dart", 0, 0, 0, 0, 0, 0, 293, 0, 0, 0, 55, 60, 408
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\core\widgets\svg_pictures.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\calling_rooms\calling_rooms.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 10, 106
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\chat\group_chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 14, 90
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\chat\single_chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 9, 81
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\firebase_auth.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\firebase_storage.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 5, 42
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\notification\device_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 4, 7, 61
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\notification\firebase_notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 1, 12, 107
"d:\agiaann\flutter-clean-architecture-instagram-1\lib\data\data_sources\remote\post\comment\firestore_comment.dart", "Dart", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 13, 89
