"filename", "language", "YAML", "JSON", "HTML", "Dart", "CMake", "C++", "Markdown", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\firebase_storage.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\firestore_user_info.dart", "Dart", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 7, 21, 157
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\comment\firestore_comment.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 14, 88
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\comment\firestore_reply.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 11, 62
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\firestore_post.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 13, 95
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\firestore_reel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 20
"d:\updated_instagram_day_4_6\instagram\lib\data\models\comment.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 12, 77
"d:\updated_instagram_day_4_6\instagram\lib\data\models\massage.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\updated_instagram_day_4_6\instagram\lib\data\models\post.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"d:\updated_instagram_day_4_6\instagram\lib\data\models\specific_users_info.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\updated_instagram_day_4_6\instagram\lib\data\models\user_personal_info.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\firebase_auth_repository_impl.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\firestore_user_repo_impl.dart", "Dart", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 5, 16, 162
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\comment\firestore_comment_repo_impl.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\comment\firestore_reply_repo_impl.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\firestore_post_repo_impl.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 7, 72
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\definition.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\followed_user_info.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\followers_user_info.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\registered_user.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\unregistered_user.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\auth_repository.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\definition.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\comment_repository.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\reply_repository.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\post_repository.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\user_repository.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\log_in_auth_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\sign_out_auth_usecase.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\sign_up_auth_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\definition.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_new_user_usecase.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_post_to_user.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_followers_and_followings_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_specific_users_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_user_from_user_name.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\getUserInfo\get_user_info_usecase.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\massage\add_massage.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\massage\get_massages.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\update_user_info.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\upload_profile_image_usecase.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\followUseCase\follow_this_user.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\followUseCase\remove_this_follower.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\add_comment_use_case.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\get_all_comment.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\put_like.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\remove_like.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\get_replies_of_this_comment.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\put_like_on_this_reply.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\remove_like_on_this_reply.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\reply_on_this_comment.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\create_post.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_all_posts.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_post_info.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\getPostInfo\get_specific_users_posts.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\likes\put_like_on_this_post.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\likes\remove_the_like_on_this_post.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\injector.dart", "Dart", 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 37, 28, 228
"d:\updated_instagram_day_4_6\instagram\lib\main.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 12, 5, 83
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\blocObserver\bloc_observer.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 30, 6, 39
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firebaseAuthCubit\firebase_auth_cubit.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firebaseAuthCubit\firebase_auth_state.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\add_new_user_cubit.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\add_new_user_state.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\massage\massage_cubit.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 10, 7, 45
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\massage\massage_state.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 8, 31
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\user_info_cubit.dart", "Dart", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 10, 107
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\user_info_state.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 9, 32
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\users_info_cubit.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\users_info_state.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\followCubit\follow_cubit.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\followCubit\follow_state.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\comment_likes\comment_likes_cubit.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\comment_likes\comment_likes_state.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\comments_info_cubit.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\comments_info_state.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\replyLikes\reply_likes_cubit.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\replyLikes\reply_likes_state.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\reply_info_cubit.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\reply_info_state.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\postLikes\post_likes_cubit.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\postLikes\post_likes_state.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\post_cubit.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\post_state.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36
