Date : 2022-04-24 04:25:54
Directory : d:\updated_instagram_day_4_6\instagram
Total : 247 files,  9782 codes, 1017 comments, 1334 blanks, all 12133 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        159 |      8,684 |        789 |      1,110 |     10,583 |
| C++        |         11 |        405 |         80 |        132 |        617 |
| JSON       |          6 |        221 |          0 |          3 |        224 |
| XML        |         55 |        178 |         46 |         13 |        237 |
| Groovy     |          3 |         91 |          3 |         25 |        119 |
| HTML       |          1 |         80 |         18 |          7 |        105 |
| YAML       |          2 |         73 |         80 |         27 |        180 |
| Markdown   |          6 |         18 |          0 |          9 |         27 |
| CMake      |          1 |         12 |          0 |          4 |         16 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        247 |      9,782 |      1,017 |      1,334 |     12,133 |
| android                                                                                                                                |         13 |        201 |         48 |         37 |        286 |
| android\app                                                                                                                            |          9 |        159 |         47 |         26 |        232 |
| android\app\src                                                                                                                        |          7 |         63 |         44 |         10 |        117 |
| android\app\src\debug                                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                   |          5 |         55 |         38 |          8 |        101 |
| android\app\src\main\res                                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                 |         48 |         56 |          0 |          1 |         57 |
| assets\3d_caractars                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| assets\3d_caractars\gif                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| assets\icons                                                                                                                           |         46 |         54 |          0 |          1 |         55 |
| assets\splash_gif                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                        |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                  |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                    |        162 |      8,675 |        779 |      1,103 |     10,557 |
| lib\config                                                                                                                             |          2 |         40 |          7 |          5 |         52 |
| lib\config\routes                                                                                                                      |          1 |         26 |          7 |          3 |         36 |
| lib\config\themes                                                                                                                      |          1 |         14 |          0 |          2 |         16 |
| lib\core                                                                                                                               |          9 |        239 |         38 |         43 |        320 |
| lib\core\resources                                                                                                                     |          5 |        156 |          0 |         28 |        184 |
| lib\core\usecase                                                                                                                       |          1 |         20 |          0 |          4 |         24 |
| lib\core\utility                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| lib\data                                                                                                                               |         20 |      1,130 |         13 |        155 |      1,298 |
| lib\data\datasourses                                                                                                                   |          7 |        429 |          8 |         72 |        509 |
| lib\data\datasourses\remote                                                                                                            |          7 |        429 |          8 |         72 |        509 |
| lib\data\datasourses\remote\post                                                                                                       |          3 |        207 |          0 |         38 |        245 |
| lib\data\datasourses\remote\post\comment                                                                                               |          2 |        125 |          0 |         25 |        150 |
| lib\data\datasourses\remote\story                                                                                                      |          1 |         42 |          0 |          6 |         48 |
| lib\data\models                                                                                                                        |          7 |        304 |          0 |         37 |        341 |
| lib\data\repositories_impl                                                                                                             |          6 |        397 |          5 |         46 |        448 |
| lib\data\repositories_impl\post                                                                                                        |          3 |        169 |          0 |         22 |        191 |
| lib\data\repositories_impl\post\comment                                                                                                |          2 |        104 |          0 |         15 |        119 |
| lib\domain                                                                                                                             |         45 |        511 |          0 |        155 |        666 |
| lib\domain\entities                                                                                                                    |          5 |         40 |          0 |          8 |         48 |
| lib\domain\repositories                                                                                                                |          7 |         79 |          0 |         20 |         99 |
| lib\domain\repositories\post                                                                                                           |          3 |         31 |          0 |          6 |         37 |
| lib\domain\repositories\post\comment                                                                                                   |          2 |         19 |          0 |          4 |         23 |
| lib\domain\usecases                                                                                                                    |         33 |        392 |          0 |        127 |        519 |
| lib\domain\usecases\authUsecase                                                                                                        |          3 |         34 |          0 |         11 |         45 |
| lib\domain\usecases\firestoreUserUseCase                                                                                               |         11 |        141 |          0 |         44 |        185 |
| lib\domain\usecases\firestoreUserUseCase\getUserInfo                                                                                   |          4 |         46 |          0 |         16 |         62 |
| lib\domain\usecases\firestoreUserUseCase\message                                                                                       |          2 |         29 |          0 |          8 |         37 |
| lib\domain\usecases\followUseCase                                                                                                      |          2 |         20 |          0 |          8 |         28 |
| lib\domain\usecases\postUseCase                                                                                                        |         14 |        167 |          0 |         56 |        223 |
| lib\domain\usecases\postUseCase\comments                                                                                               |          8 |         98 |          0 |         32 |        130 |
| lib\domain\usecases\postUseCase\comments\replies                                                                                       |          4 |         52 |          0 |         16 |         68 |
| lib\domain\usecases\postUseCase\comments\replies\likes                                                                                 |          2 |         26 |          0 |          8 |         34 |
| lib\domain\usecases\postUseCase\getPostInfo                                                                                            |          3 |         32 |          0 |         12 |         44 |
| lib\domain\usecases\postUseCase\likes                                                                                                  |          2 |         24 |          0 |          8 |         32 |
| lib\domain\usecases\storyUseCase                                                                                                       |          2 |         29 |          0 |          8 |         37 |
| lib\presentation                                                                                                                       |         83 |      6,494 |        677 |        706 |      7,877 |
| lib\presentation\cubit                                                                                                                 |         35 |        881 |         75 |        243 |      1,199 |
| lib\presentation\cubit\StoryCubit                                                                                                      |          2 |         63 |          0 |         16 |         79 |
| lib\presentation\cubit\bloc                                                                                                            |          3 |          0 |         73 |          3 |         76 |
| lib\presentation\cubit\blocObserver                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| lib\presentation\cubit\firebaseAuthCubit                                                                                               |          2 |         61 |          0 |         16 |         77 |
| lib\presentation\cubit\firestoreUserInfoCubit                                                                                          |         11 |        328 |          2 |         82 |        412 |
| lib\presentation\cubit\firestoreUserInfoCubit\message                                                                                  |          5 |        117 |          2 |         34 |        153 |
| lib\presentation\cubit\firestoreUserInfoCubit\message\bloc                                                                             |          3 |         67 |          0 |         21 |         88 |
| lib\presentation\cubit\firestoreUserInfoCubit\message\cubit                                                                            |          2 |         50 |          2 |         13 |         65 |
| lib\presentation\cubit\followCubit                                                                                                     |          2 |         48 |          0 |         14 |         62 |
| lib\presentation\cubit\postInfoCubit                                                                                                   |         14 |        381 |          0 |        111 |        492 |
| lib\presentation\cubit\postInfoCubit\commentsInfo                                                                                      |          8 |        209 |          0 |         61 |        270 |
| lib\presentation\cubit\postInfoCubit\commentsInfo\comment_likes                                                                        |          2 |         54 |          0 |         15 |         69 |
| lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo                                                                          |          4 |        103 |          0 |         30 |        133 |
| lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\replyLikes                                                               |          2 |         49 |          0 |         15 |         64 |
| lib\presentation\cubit\postInfoCubit\postLikes                                                                                         |          2 |         49 |          0 |         14 |         63 |
| lib\presentation\pages                                                                                                                 |         17 |      2,817 |         33 |        216 |      3,066 |
| lib\presentation\screens                                                                                                               |          1 |         99 |          0 |          6 |        105 |
| lib\presentation\widgets                                                                                                               |         30 |      2,697 |        569 |        241 |      3,507 |
| test                                                                                                                                   |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                    |          2 |        115 |         18 |          8 |        141 |
| windows                                                                                                                                |         11 |        416 |         80 |        135 |        631 |
| windows\flutter                                                                                                                        |          3 |         20 |          9 |         15 |         44 |
| windows\runner                                                                                                                         |          8 |        396 |         71 |        120 |        587 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\updated_instagram_day_4_6\instagram\README.md                                                                                       | Markdown   |         10 |          0 |          7 |         17 |
| d:\updated_instagram_day_4_6\instagram\analysis_options.yaml                                                                           | YAML       |          3 |         23 |          4 |         30 |
| d:\updated_instagram_day_4_6\instagram\android\app\build.gradle                                                                        | Groovy     |         57 |          3 |         16 |         76 |
| d:\updated_instagram_day_4_6\instagram\android\app\google-services.json                                                                | JSON       |         39 |          0 |          0 |         39 |
| d:\updated_instagram_day_4_6\instagram\android\app\src\debug\AndroidManifest.xml                                                       | XML        |          4 |          3 |          1 |          8 |
| d:\updated_instagram_day_4_6\instagram\android\app\src\main\AndroidManifest.xml                                                        | XML        |         29 |          6 |          2 |         37 |
| d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\drawable-v21\launch_background.xml                                     | XML        |          4 |          7 |          2 |         13 |
| d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\drawable\launch_background.xml                                         | XML        |          4 |          7 |          2 |         13 |
| d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values-night\styles.xml                                                | XML        |          9 |          9 |          1 |         19 |
| d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values\styles.xml                                                      | XML        |          9 |          9 |          1 |         19 |
| d:\updated_instagram_day_4_6\instagram\android\app\src\profile\AndroidManifest.xml                                                     | XML        |          4 |          3 |          1 |          8 |
| d:\updated_instagram_day_4_6\instagram\android\build.gradle                                                                            | Groovy     |         26 |          0 |          5 |         31 |
| d:\updated_instagram_day_4_6\instagram\android\gradle.properties                                                                       | Properties |          3 |          0 |          1 |          4 |
| d:\updated_instagram_day_4_6\instagram\android\gradle\wrapper\gradle-wrapper.properties                                                | Properties |          5 |          1 |          1 |          7 |
| d:\updated_instagram_day_4_6\instagram\android\settings.gradle                                                                         | Groovy     |          8 |          0 |          4 |         12 |
| d:\updated_instagram_day_4_6\instagram\assets\3d_caractars\gif\business-investor-gaining-profit-from-investment.json                   | JSON       |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\activity.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\add-instagram-story.svg                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\add.svg                                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\archive.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\birthday-cake.svg                                                                  | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\calendar.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\cancel.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\cancel_blod.svg                                                                    | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\close_friends.svg                                                                  | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\comment.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\gallery.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\gallery_blod.svg                                                                   | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\grid.svg                                                                           | XML        |          5 |          0 |          0 |          5 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\heart.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\house_black.svg                                                                    | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\house_white.svg                                                                    | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\instagram-highlight-story.svg                                                      | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\instagram.svg                                                                      | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\link.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\live-streaming.svg                                                                 | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\logo_instagram.svg                                                                 | XML        |          4 |          0 |          1 |          5 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\menu.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\menu_horizontal.svg                                                                | XML        |          2 |          0 |          0 |          2 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\microphone.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\microphone_black.svg                                                               | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\minus.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\paper-plane-right.svg                                                              | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right.svg                                                              | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right_blod.svg                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\phone.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\phone_blod.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code1.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code2.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\save.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\search.svg                                                                         | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\send.svg                                                                           | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\settings.svg                                                                       | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\share.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\shop_black.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\shop_white.svg                                                                     | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\sticker.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\sticker_black.svg                                                                  | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\sticker_blod.svg                                                                   | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\video.svg                                                                          | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\video_point.svg                                                                    | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\icons\warning.svg                                                                        | XML        |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\assets\splash_gif\instagram.json                                                                | JSON       |          1 |          0 |          0 |          1 |
| d:\updated_instagram_day_4_6\instagram\ios\Runner\AppDelegate.swift                                                                    | Swift      |         12 |          0 |          2 |         14 |
| d:\updated_instagram_day_4_6\instagram\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                     | JSON       |        122 |          0 |          1 |        123 |
| d:\updated_instagram_day_4_6\instagram\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                                   | JSON       |         23 |          0 |          1 |         24 |
| d:\updated_instagram_day_4_6\instagram\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                                       | Markdown   |          3 |          0 |          2 |          5 |
| d:\updated_instagram_day_4_6\instagram\ios\Runner\Base.lproj\LaunchScreen.storyboard                                                   | XML        |         36 |          1 |          1 |         38 |
| d:\updated_instagram_day_4_6\instagram\ios\Runner\Base.lproj\Main.storyboard                                                           | XML        |         25 |          1 |          1 |         27 |
| d:\updated_instagram_day_4_6\instagram\ios\Runner\Runner-Bridging-Header.h                                                             | C++        |          1 |          0 |          1 |          2 |
| d:\updated_instagram_day_4_6\instagram\lib\config\routes\app_routes.dart                                                               | Dart       |         26 |          7 |          3 |         36 |
| d:\updated_instagram_day_4_6\instagram\lib\config\themes\app_theme.dart                                                                | Dart       |         14 |          0 |          2 |         16 |
