"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 2, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\assets\icons\gallery.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\gallery_blod.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\ic_instagram.svg", "XML", 0, 0, -4, 0, -1, -5
"d:\updated_instagram_day_4_6\instagram\assets\icons\logo_instagram.svg", "XML", 0, 0, 4, 0, 1, 5
"d:\updated_instagram_day_4_6\instagram\assets\icons\microphone.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\microphone_black.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper-plane-right.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right_blod.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\phone.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\phone_blod.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\sticker.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\sticker_black.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\sticker_blod.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\video_point.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\config\routes\app_routes.dart", "Dart", 0, 1, 0, 1, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\core\constant.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\updated_instagram_day_4_6\instagram\lib\core\globall.dart", "Dart", 0, 51, 0, 38, 10, 99
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\assets_manager.dart", "Dart", 0, 20, 0, 0, 5, 25
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\color_manager.dart", "Dart", 0, 14, 0, 0, 2, 16
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\font_manager.dart", "Dart", 0, 20, 0, 0, 4, 24
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\strings_manager.dart", "Dart", 0, 52, 0, 0, 8, 60
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\styles_manager.dart", "Dart", 0, 50, 0, 0, 9, 59
"d:\updated_instagram_day_4_6\instagram\lib\core\utility\constant.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\firestore_user_info.dart", "Dart", 0, 11, 0, 1, -2, 10
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\firestore_reel.dart", "Dart", 0, 0, 0, -19, -1, -20
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\story\firestore_story.dart", "Dart", 0, 42, 0, 0, 6, 48
"d:\updated_instagram_day_4_6\instagram\lib\data\models\message.dart", "Dart", 0, 19, 0, 0, 1, 20
"d:\updated_instagram_day_4_6\instagram\lib\data\models\parent_post.dart", "Dart", 0, 19, 0, 0, 3, 22
"d:\updated_instagram_day_4_6\instagram\lib\data\models\post.dart", "Dart", 0, 1, 0, 0, -1, 0
"d:\updated_instagram_day_4_6\instagram\lib\data\models\story.dart", "Dart", 0, 50, 0, 0, 4, 54
"d:\updated_instagram_day_4_6\instagram\lib\data\models\user_personal_info.dart", "Dart", 0, 7, 0, 0, 0, 7
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\firebase_auth_repository_impl.dart", "Dart", 0, -36, 0, 0, -4, -40
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\firestore_user_repo_impl.dart", "Dart", 0, -141, 0, -5, -16, -162
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\comment\firestore_comment_repo_impl.dart", "Dart", 0, -51, 0, 0, -8, -59
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\comment\firestore_reply_repo_impl.dart", "Dart", 0, -53, 0, 0, -7, -60
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\firestore_post_repo_impl.dart", "Dart", 0, -65, 0, 0, -7, -72
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\firebase_auth_repository_impl.dart", "Dart", 0, 36, 0, 0, 4, 40
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\firestore_story_repo_impl.dart", "Dart", 0, 35, 0, 0, 3, 38
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\firestore_user_repo_impl.dart", "Dart", 0, 157, 0, 5, 17, 179
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\post\comment\firestore_comment_repo_impl.dart", "Dart", 0, 51, 0, 0, 8, 59
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\post\comment\firestore_reply_repo_impl.dart", "Dart", 0, 53, 0, 0, 7, 60
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\post\firestore_post_repo_impl.dart", "Dart", 0, 65, 0, 0, 7, 72
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\story_repository.dart", "Dart", 0, 9, 0, 0, 2, 11
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\user_repository.dart", "Dart", 0, 4, 0, 0, 0, 4
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_story_to_user.dart", "Dart", 0, 14, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\message\add_message.dart", "Dart", 0, 7, 0, 0, 0, 7
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\storyUseCase\create_story.dart", "Dart", 0, 13, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\storyUseCase\get_stories_info.dart", "Dart", 0, 16, 0, 0, 4, 20
"d:\updated_instagram_day_4_6\instagram\lib\injector.dart", "Dart", 0, 22, 0, 7, 2, 31
"d:\updated_instagram_day_4_6\instagram\lib\main.dart", "Dart", 0, -7, 0, -12, 0, -19
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\StoryCubit\story_cubit.dart", "Dart", 0, 37, 0, 0, 7, 44
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\StoryCubit\story_state.dart", "Dart", 0, 26, 0, 0, 9, 35
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\blocObserver\bloc_observer.dart", "Dart", 0, -3, 0, -30, -5, -38
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_bloc.dart", "Dart", 0, 0, 0, 30, 1, 31
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_event.dart", "Dart", 0, 0, 0, 23, 1, 24
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_state.dart", "Dart", 0, 0, 0, 20, 1, 21
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\bloc\message_bloc.dart", "Dart", 0, 35, 0, 0, 7, 42
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\bloc\message_event.dart", "Dart", 0, 18, 0, 0, 7, 25
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\bloc\message_state.dart", "Dart", 0, 14, 0, 0, 7, 21
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\cubit\message_cubit.dart", "Dart", 0, 29, 0, 0, 5, 34
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\cubit\message_state.dart", "Dart", 0, 21, 0, 2, 8, 31
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\message_cubit.dart", "Dart", 0, -28, 0, -10, -7, -45
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\message\message_state.dart", "Dart", 0, -21, 0, -2, -8, -31
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\user_info_cubit.dart", "Dart", 0, 15, 0, -1, 1, 15
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\firestoreUserInfoCubit\user_info_state.dart", "Dart", 0, 4, 0, -6, 2, 0
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\post_cubit.dart", "Dart", 0, 0, 0, 0, -1, -1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\chatting_page.dart", "Dart", 0, 539, 0, 8, 29, 576
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\comments_page.dart", "Dart", 0, 3, 0, -3, -3, -3
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\edit_profile_page.dart", "Dart", 0, 5, 0, 0, 0, 5
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\followers_and_followings_info_page.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\home_page.dart", "Dart", 0, 55, 0, 2, -1, 56
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\login_page.dart", "Dart", 0, 7, 0, 0, 1, 8
