"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\messages_page.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\new_post_page.dart", "Dart", 0, 9, 0, 0, -1, 8
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\personal_profile_page.dart", "Dart", 0, 23, 0, 0, 2, 25
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\play_this_video.dart", "Dart", 0, 20, 0, 2, -1, 21
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\search_about_user_page.dart", "Dart", 0, -1, 0, 0, -1, -2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\sign_up_page.dart", "Dart", 0, 3, 0, 0, -2, 1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\story_config.dart", "Dart", 0, 134, 0, 2, 12, 148
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\texting_page.dart", "Dart", 0, -357, 0, -13, -23, -393
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\ttry.dart", "Dart", 0, -133, 0, -11, -22, -166
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\videos_page.dart", "Dart", 0, 82, 0, -14, 7, 75
"d:\updated_instagram_day_4_6\instagram\lib\presentation\screens\main_screen.dart", "Dart", 0, 13, 0, 0, -1, 12
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\audio_recorder_view.dart", "Dart", 0, 104, 0, 0, 23, 127
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\circle_avatar_name.dart", "Dart", 0, 3, 0, 0, 0, 3
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\circle_avatar_of_profile_image.dart", "Dart", 0, -3, 0, 0, 0, -3
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\commentator.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\create_post.dart", "Dart", 0, 0, 0, 44, 1, 45
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\custom_app_bar.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\custom_grid_view.dart", "Dart", 0, -2, 0, -6, 0, -8
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\custom_posts_display.dart", "Dart", 0, 1, 0, 1, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\custom_videos_grid_view.dart", "Dart", 0, 0, 0, 2, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\fade_in_image.dart", "Dart", 0, 43, 0, 0, 4, 47
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\instagram_story_swipe.dart", "Dart", 0, 86, 0, 0, 15, 101
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\multi_bloc_provider.dart", "Dart", 0, 8, 0, 0, 0, 8
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\post_list_saved.dart", "Dart", 0, 216, 0, 8, 12, 236
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\post_list_view.dart", "Dart", 0, -15, 0, 0, 1, -14
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\profile_page.dart", "Dart", 0, 2, 0, 6, 0, 8
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\record_view.dart", "Dart", 0, 99, 0, 0, 11, 110
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\reel_video_play.dart", "Dart", 0, 13, 0, 0, 3, 16
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\show_me_the_users.dart", "Dart", 0, -3, 0, 0, 0, -3
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\story_page.dart", "Dart", 0, 66, 0, 0, 10, 76
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\try.dart", "Dart", 0, 0, 0, 435, -1, 434
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\user_profile_page.dart", "Dart", 0, -3, 0, 0, -1, -4
"d:\updated_instagram_day_4_6\instagram\pubspec.yaml", "YAML", 8, 0, 0, 0, -1, 7
"Total", "-", 8, 1652, 15, 505, 176, 2356
