"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\analysis_options.yaml", "YAML", 3, 0, 2, 0, 5
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\assets_manager.dart", "Dart", 0, 2, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\firestore_user_info.dart", "Dart", 0, 3, -8, 1, -4
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\comment\firestore_comment.dart", "Dart", 0, 0, 0, -1, -1
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\firestore_post.dart", "Dart", 0, -5, 11, 2, 8
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\post\comment\firestore_comment_repo_impl.dart", "Dart", 0, 5, 0, 0, 5
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\comment_repository.dart", "Dart", 0, 3, 0, 0, 3
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\getComment\get_all_comment.dart", "Dart", 0, 13, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\getComment\get_comment.dart", "Dart", 0, 11, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\get_all_comment.dart", "Dart", 0, -11, 0, -4, -15
"d:\updated_instagram_day_4_6\instagram\lib\injector.dart", "Dart", 0, 7, 0, 1, 8
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\StoryCubit\story_cubit.dart", "Dart", 0, 4, 0, 0, 4
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_bloc.dart", "Dart", 0, 38, -30, 4, 12
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_event.dart", "Dart", 0, 18, -23, 5, 0
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\bloc\get_comments_state.dart", "Dart", 0, 14, -20, 6, 0
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\comments_info_cubit.dart", "Dart", 0, -9, 9, 0, 0
"d:\updated_instagram_day_4_6\instagram\lib\presentation\customPackages\story_view\sory_controller.dart", "Dart", 0, 20, 10, 8, 38
"d:\updated_instagram_day_4_6\instagram\lib\presentation\customPackages\story_view\story_image.dart", "Dart", 0, 167, 13, 38, 218
"d:\updated_instagram_day_4_6\instagram\lib\presentation\customPackages\story_view\story_video.dart", "Dart", 0, 127, 0, 25, 152
"d:\updated_instagram_day_4_6\instagram\lib\presentation\customPackages\story_view\story_view.dart", "Dart", 0, 703, 71, 98, 872
"d:\updated_instagram_day_4_6\instagram\lib\presentation\customPackages\story_view\utils.dart", "Dart", 0, 18, 0, 8, 26
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\comments_page.dart", "Dart", 0, -2, 5, 3, 6
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\home_page.dart", "Dart", 0, 2, 0, -1, 1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\screens\main_screen.dart", "Dart", 0, -2, 0, 0, -2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\commentator.dart", "Dart", 0, 9, 2, 2, 13
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\create_post.dart", "Dart", 0, 0, -44, -1, -45
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\custom_grid_view.dart", "Dart", 0, 7, 0, 1, 8
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\custom_posts_display.dart", "Dart", 0, 12, 0, 0, 12
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\custom_videos_grid_view.dart", "Dart", 0, -3, 0, 0, -3
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\fade_in_image.dart", "Dart", 0, 3, 0, 1, 4
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\instagram_story_swipe.dart", "Dart", 0, -2, 0, -1, -3
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\app.dart", "Dart", 0, 5, 0, 1, 6
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\navigation\custom_rect_tween.dart", "Dart", 0, 19, 6, 4, 29
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\navigation\hero_dialog_route.dart", "Dart", 0, 32, 6, 11, 49
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\navigation\navigation.dart", "Dart", 0, 2, 0, 1, 3
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\state\app_state.dart", "Dart", 0, 63, 28, 18, 109
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\state\demo_users.dart", "Dart", 0, 49, 7, 6, 62
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\state\models\models.dart", "Dart", 0, 1, 0, 1, 2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\state\models\user.dart", "Dart", 0, 84, 13, 18, 115
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\state\state.dart", "Dart", 0, 3, 0, 1, 4
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\stream_agram.dart", "Dart", 0, 39, 9, 8, 56
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\theme.dart", "Dart", 0, 174, 20, 22, 216
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\app\utils.dart", "Dart", 0, 14, 5, 5, 24
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\app_widgets\app_widgets.dart", "Dart", 0, 4, 0, 1, 5
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\app_widgets\avatars.dart", "Dart", 0, 143, 23, 25, 191
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\app_widgets\comment_box.dart", "Dart", 0, 159, 4, 13, 176
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\app_widgets\favorite_icon.dart", "Dart", 0, 46, 9, 9, 64
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\app_widgets\tap_fade_icon.dart", "Dart", 0, 49, 8, 13, 70
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\comments\comments.dart", "Dart", 0, 1, 0, 1, 2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\comments\comments_screen.dart", "Dart", 0, 444, 6, 42, 492
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\comments\state\comment_state.dart", "Dart", 0, 44, 27, 16, 87
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\comments\state\state.dart", "Dart", 0, 1, 0, 1, 2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\home\home.dart", "Dart", 0, 1, 0, 1, 2
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\home\home_screen.dart", "Dart", 0, 155, 8, 19, 182
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\mmmmmmmmmm\lib\components\login\login.dart", "Dart", 0, 1, 0, 1, 2
