"filename", "language", "C++", "CMake", "YAML", "Dart", "JSON", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\assets\icons\menu_horizontal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\assets\icons\microphone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\microphone_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\minus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper-plane-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\phone_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\save.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\share.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\shop_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\shop_white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\sticker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\sticker_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\sticker_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\video.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
